SourcePub,Profile_name,X,Y
Frankel2001,9,275.367,494.961
Frankel2001,9,275.518,495.558
Frankel2001,9,275.817,496.304
Frankel2001,9,275.967,496.603
Frankel2001,9,276.267,496.752
Frankel2001,9,276.267,496.752
Frankel2001,9,276.718,496.901
Frankel2001,9,278.517,496.901
Frankel2001,9,279.719,496.752
Frankel2001,9,280.77,496.752
Frankel2001,9,280.77,496.752
Frankel2001,9,281.67,496.603
Frankel2001,9,282.269,496.603
Frankel2001,9,283.02,496.453
Frankel2001,9,283.02,496.453
Frankel2001,9,283.771,496.304
Frankel2001,9,284.821,496.154
Frankel2001,9,285.87,496.005
Frankel2001,9,287.073,495.707
Frankel2001,9,289.623,495.26
Frankel2001,9,292.175,494.662
Frankel2001,9,292.175,494.662
Frankel2001,9,294.575,493.917
Frankel2001,9,296.978,493.17
Frankel2001,9,301.779,491.38
Frankel2001,15,104.602,543.37
Frankel2001,15,114.388,543.37
Frankel2001,15,117.399,543.519
Frankel2001,15,117.399,543.519
